"gridvalue","CDF","type"
1675,0.999997302506376,"Real Emission at 30m"
1680,0.999997302506376,"Real Emission at 30m"
1685,0.999997302506376,"Real Emission at 30m"
1690,0.999997302506376,"Real Emission at 30m"
1695,0.999997302506376,"Real Emission at 30m"
1700,0.999997302506376,"Real Emission at 30m"
1705,0.999997302506376,"Real Emission at 30m"
1710,0.999998651253188,"Real Emission at 30m"
1715,0.999998651253188,"Real Emission at 30m"
1720,0.999998651253188,"Real Emission at 30m"
1725,0.999998651253188,"Real Emission at 30m"
1730,0.999998651253188,"Real Emission at 30m"
1735,0.999998651253188,"Real Emission at 30m"
1740,0.999998651253188,"Real Emission at 30m"
1745,0.999998651253188,"Real Emission at 30m"
1750,0.999998651253188,"Real Emission at 30m"
1755,0.999998651253188,"Real Emission at 30m"
1760,0.999998651253188,"Real Emission at 30m"
1765,0.999998651253188,"Real Emission at 30m"
1770,0.999998651253188,"Real Emission at 30m"
1775,0.999998651253188,"Real Emission at 30m"
1780,0.999998651253188,"Real Emission at 30m"
1785,0.999998651253188,"Real Emission at 30m"
1790,0.999998651253188,"Real Emission at 30m"
1795,0.999998651253188,"Real Emission at 30m"
1800,0.999998651253188,"Real Emission at 30m"
1805,0.999998651253188,"Real Emission at 30m"
1810,0.999998651253188,"Real Emission at 30m"
1815,0.999998651253188,"Real Emission at 30m"
1820,0.999998651253188,"Real Emission at 30m"
1825,0.999998651253188,"Real Emission at 30m"
1830,0.999998651253188,"Real Emission at 30m"
1835,0.999998651253188,"Real Emission at 30m"
1840,0.999998651253188,"Real Emission at 30m"
1845,0.999998651253188,"Real Emission at 30m"
1850,0.999998651253188,"Real Emission at 30m"
1855,0.999998651253188,"Real Emission at 30m"
1860,0.999998651253188,"Real Emission at 30m"
1865,0.999998651253188,"Real Emission at 30m"
1870,0.999998651253188,"Real Emission at 30m"
1875,0.999998651253188,"Real Emission at 30m"
1880,0.999998651253188,"Real Emission at 30m"
1885,0.999998651253188,"Real Emission at 30m"
1890,0.999998651253188,"Real Emission at 30m"
1895,0.999998651253188,"Real Emission at 30m"
1900,0.999998651253188,"Real Emission at 30m"
1905,0.999998651253188,"Real Emission at 30m"
1910,0.999998651253188,"Real Emission at 30m"
1915,0.999998651253188,"Real Emission at 30m"
1920,0.999998651253188,"Real Emission at 30m"
1925,0.999998651253188,"Real Emission at 30m"
1930,0.999998651253188,"Real Emission at 30m"
1935,0.999998651253188,"Real Emission at 30m"
1940,0.999998651253188,"Real Emission at 30m"
1945,0.999998651253188,"Real Emission at 30m"
1950,0.999998651253188,"Real Emission at 30m"
1955,0.999998651253188,"Real Emission at 30m"
1960,0.999998651253188,"Real Emission at 30m"
1965,0.999998651253188,"Real Emission at 30m"
1970,0.999998651253188,"Real Emission at 30m"
1975,0.999998651253188,"Real Emission at 30m"
1980,0.999998651253188,"Real Emission at 30m"
1985,0.999998651253188,"Real Emission at 30m"
1990,0.999998651253188,"Real Emission at 30m"
1995,0.999998651253188,"Real Emission at 30m"
2000,0.999998651253188,"Real Emission at 30m"
2005,0.999998651253188,"Real Emission at 30m"
2010,0.999998651253188,"Real Emission at 30m"
2015,0.999998651253188,"Real Emission at 30m"
2020,0.999998651253188,"Real Emission at 30m"
2025,0.999998651253188,"Real Emission at 30m"
2030,0.999998651253188,"Real Emission at 30m"
2035,0.999998651253188,"Real Emission at 30m"
2040,0.999998651253188,"Real Emission at 30m"
2045,0.999998651253188,"Real Emission at 30m"
2050,0.999998651253188,"Real Emission at 30m"
2055,0.999998651253188,"Real Emission at 30m"
2060,0.999998651253188,"Real Emission at 30m"
2065,0.999998651253188,"Real Emission at 30m"
2070,0.999998651253188,"Real Emission at 30m"
2075,0.999998651253188,"Real Emission at 30m"
2080,0.999998651253188,"Real Emission at 30m"
2085,0.999998651253188,"Real Emission at 30m"
2090,0.999998651253188,"Real Emission at 30m"
2095,0.999998651253188,"Real Emission at 30m"
2100,0.999998651253188,"Real Emission at 30m"
2105,0.999998651253188,"Real Emission at 30m"
2110,0.999998651253188,"Real Emission at 30m"
2115,0.999998651253188,"Real Emission at 30m"
2120,0.999998651253188,"Real Emission at 30m"
2125,0.999998651253188,"Real Emission at 30m"
2130,0.999998651253188,"Real Emission at 30m"
2135,0.999998651253188,"Real Emission at 30m"
2140,0.999998651253188,"Real Emission at 30m"
2145,0.999998651253188,"Real Emission at 30m"
2150,0.999998651253188,"Real Emission at 30m"
2155,0.999998651253188,"Real Emission at 30m"
2160,0.999998651253188,"Real Emission at 30m"
2165,0.999998651253188,"Real Emission at 30m"
2170,0.999998651253188,"Real Emission at 30m"
2175,0.999998651253188,"Real Emission at 30m"
2180,0.999998651253188,"Real Emission at 30m"
2185,0.999998651253188,"Real Emission at 30m"
2190,0.999998651253188,"Real Emission at 30m"
2195,0.999998651253188,"Real Emission at 30m"
2200,0.999998651253188,"Real Emission at 30m"
2205,0.999998651253188,"Real Emission at 30m"
2210,0.999998651253188,"Real Emission at 30m"
2215,0.999998651253188,"Real Emission at 30m"
0,0,"Monte Carlo Simulation"
5,0.02936,"Monte Carlo Simulation"
10,0.08661,"Monte Carlo Simulation"
15,0.13734,"Monte Carlo Simulation"
20,0.17994,"Monte Carlo Simulation"
25,0.21617,"Monte Carlo Simulation"
30,0.24666,"Monte Carlo Simulation"
35,0.27409,"Monte Carlo Simulation"
40,0.29696,"Monte Carlo Simulation"
45,0.31851,"Monte Carlo Simulation"
50,0.33846,"Monte Carlo Simulation"
55,0.35617,"Monte Carlo Simulation"
60,0.37265,"Monte Carlo Simulation"
65,0.38833,"Monte Carlo Simulation"
70,0.40231,"Monte Carlo Simulation"
75,0.41509,"Monte Carlo Simulation"
80,0.42793,"Monte Carlo Simulation"
85,0.43991,"Monte Carlo Simulation"
90,0.45061,"Monte Carlo Simulation"
95,0.46094,"Monte Carlo Simulation"
100,0.47066,"Monte Carlo Simulation"
105,0.47974,"Monte Carlo Simulation"
110,0.48845,"Monte Carlo Simulation"
115,0.4966,"Monte Carlo Simulation"
120,0.50433,"Monte Carlo Simulation"
125,0.51282,"Monte Carlo Simulation"
130,0.52003,"Monte Carlo Simulation"
135,0.52757,"Monte Carlo Simulation"
140,0.53442,"Monte Carlo Simulation"
145,0.54108,"Monte Carlo Simulation"
150,0.5473,"Monte Carlo Simulation"
155,0.55367,"Monte Carlo Simulation"
160,0.55975,"Monte Carlo Simulation"
165,0.56535,"Monte Carlo Simulation"
170,0.57089,"Monte Carlo Simulation"
175,0.57606,"Monte Carlo Simulation"
180,0.58124,"Monte Carlo Simulation"
185,0.58586,"Monte Carlo Simulation"
190,0.59085,"Monte Carlo Simulation"
195,0.59537,"Monte Carlo Simulation"
200,0.59983,"Monte Carlo Simulation"
205,0.60437,"Monte Carlo Simulation"
210,0.60849,"Monte Carlo Simulation"
215,0.61263,"Monte Carlo Simulation"
220,0.61713,"Monte Carlo Simulation"
225,0.62094,"Monte Carlo Simulation"
230,0.62484,"Monte Carlo Simulation"
235,0.6285,"Monte Carlo Simulation"
240,0.63212,"Monte Carlo Simulation"
245,0.63542,"Monte Carlo Simulation"
250,0.63876,"Monte Carlo Simulation"
255,0.64191,"Monte Carlo Simulation"
260,0.64478,"Monte Carlo Simulation"
265,0.64789,"Monte Carlo Simulation"
270,0.65098,"Monte Carlo Simulation"
275,0.65405,"Monte Carlo Simulation"
280,0.65735,"Monte Carlo Simulation"
285,0.66017,"Monte Carlo Simulation"
290,0.6634,"Monte Carlo Simulation"
295,0.6666,"Monte Carlo Simulation"
300,0.66944,"Monte Carlo Simulation"
305,0.67217,"Monte Carlo Simulation"
310,0.67475,"Monte Carlo Simulation"
315,0.67737,"Monte Carlo Simulation"
320,0.68003,"Monte Carlo Simulation"
325,0.68219,"Monte Carlo Simulation"
330,0.68453,"Monte Carlo Simulation"
335,0.68694,"Monte Carlo Simulation"
340,0.68933,"Monte Carlo Simulation"
345,0.69146,"Monte Carlo Simulation"
350,0.69374,"Monte Carlo Simulation"
355,0.69606,"Monte Carlo Simulation"
360,0.69822,"Monte Carlo Simulation"
365,0.70043,"Monte Carlo Simulation"
370,0.70254,"Monte Carlo Simulation"
375,0.70453,"Monte Carlo Simulation"
380,0.7067,"Monte Carlo Simulation"
385,0.70875,"Monte Carlo Simulation"
390,0.71043,"Monte Carlo Simulation"
395,0.71222,"Monte Carlo Simulation"
400,0.71425,"Monte Carlo Simulation"
405,0.71614,"Monte Carlo Simulation"
410,0.71815,"Monte Carlo Simulation"
415,0.72024,"Monte Carlo Simulation"
420,0.72196,"Monte Carlo Simulation"
425,0.72385,"Monte Carlo Simulation"
430,0.72567,"Monte Carlo Simulation"
435,0.72721,"Monte Carlo Simulation"
440,0.72909,"Monte Carlo Simulation"
445,0.73058,"Monte Carlo Simulation"
450,0.73249,"Monte Carlo Simulation"
455,0.73396,"Monte Carlo Simulation"
460,0.73549,"Monte Carlo Simulation"
465,0.73692,"Monte Carlo Simulation"
470,0.73872,"Monte Carlo Simulation"
475,0.74011,"Monte Carlo Simulation"
