"","x"
"155",0.996757612664193
"156",0.996818306270729
"157",0.996874953636828
"158",0.996957227192354
"159",0.997028710773385
"160",0.997101543101227
"161",0.997179770416318
"162",0.997247207756913
"163",0.997324086325191
"164",0.997388826172162
"165",0.997463007246817
"166",0.997531793334223
"167",0.997604625662066
"168",0.997669365509037
"169",0.997738151596444
"170",0.997809635177475
"171",0.997878421264882
"172",0.997936417377793
"173",0.998002505971576
"174",0.998056455844052
"175",0.998125241931459
"176",0.998180540550747
"177",0.998241234157283
"178",0.998292486536135
"179",0.998343738914987
"180",0.998403083774711
"181",0.998458382393999
"182",0.99851637850691
"183",0.998582467100693
"184",0.998641811960417
"185",0.998690366845645
"186",0.998730829250002
"187",0.998780732882043
"188",0.998815800299152
"189",0.99886435518438
"190",0.998900771348302
"191",0.998937187512223
"192",0.998961464954837
"193",0.998983044903828
"194",0.999012717333689
"195",0.999030251042244
"196",0.999063969712542
"197",0.999082852167908
"198",0.999117919585018
"199",0.99914084828082
"200",0.999158381989375
"201",0.999196146900108
"202",0.999213680608662
"203",0.99922581932997
"204",0.9992406555449
"205",0.999258189253455
"206",0.99926897922795
"207",0.999287861683317
"208",0.999302697898248
"209",0.999317534113179
"210",0.999339114062169
"211",0.999348555289852
"212",0.999370135238843
"213",0.999384971453774
"214",0.999391715187833
"215",0.999407900149576
"216",0.999421387617695
"217",0.999442967566685
"218",0.999452408794369
"219",0.999463198768864
"220",0.999476686236983
"221",0.99948882495829
"222",0.999505009920033
"223",0.999519846134964
"224",0.999531984856271
"225",0.99953872859033
"226",0.999550867311637
"227",0.999556262298885
"228",0.99956705227338
"229",0.999579190994687
"230",0.999588632222371
"231",0.999598073450054
"232",0.999612909664985
"233",0.999619653399044
"234",0.999629094626728
"235",0.99964527958847
"236",0.999658767056589
"237",0.999669557031085
"238",0.999684393246015
"239",0.999696531967323
"240",0.999700578207758
"241",0.999704624448194
"242",0.999707321941818
"243",0.999718111916313
"244",0.999731599384432
"245",0.999745086852551
"246",0.99975857432067
"247",0.999770713041977
"248",0.999778805522848
"249",0.999790944244155
"250",0.999803082965463
"251",0.99980847795271
"252",0.999813872939958
"253",0.999820616674017
"254",0.999827360408077
"255",0.999839499129384
"256",0.999848940357067
"257",0.999863776571998
"258",0.999882659027365
"259",0.999892100255048
"260",0.999904238976355
"261",0.99991502895085
"262",0.999928516418969
"263",0.9999433526339
"264",0.99995009636796
"265",0.999958188848831
"266",0.999963583836079
"267",0.999968978823326
"268",0.999986512531881
"269",0.999994605012752
"270",0.999995953759564
"271",0.999997302506376
"272",0.999997302506376
"273",0.999997302506376
"274",0.999997302506376
"275",0.999997302506376
"276",0.999997302506376
"277",0.999997302506376
"278",0.999997302506376
"279",0.999997302506376
"280",0.999997302506376
"281",0.999997302506376
"282",0.999997302506376
"283",0.999997302506376
"284",0.999997302506376
"285",0.999997302506376
"286",0.999997302506376
"287",0.999997302506376
"288",0.999997302506376
"289",0.999997302506376
"290",0.999997302506376
"291",0.999997302506376
"292",0.999997302506376
"293",0.999997302506376
"294",0.999997302506376
"295",0.999997302506376
"296",0.999997302506376
"297",0.999997302506376
"298",0.999997302506376
"299",0.999997302506376
"300",0.999997302506376
"301",0.999997302506376
"302",0.999997302506376
"303",0.999997302506376
"304",0.999997302506376
"305",0.999997302506376
"306",0.999997302506376
